sc,chosen,explain
程序员,程式設計師,"programmer; 程式設計師 (TW+HK) — in traditional 程序=procedure, 程式=program, so the mainland 程序員 would misread"
视频,影片,"video; 影片 is the universal natural word (TW+HK), vs mainland-only 視頻"
链接,連結,"hyperlink/link; 連結 (TW+HK), vs mainland-only 鏈接"
内存,記憶體,"RAM / memory; 記憶體 (TW+HK), vs mainland-only 內存"
哈希,雜湊,"hash (computing); 雜湊 (TW+HK, semantic), vs mainland-only phonetic 哈希"
塑料,塑膠,"plastic; 塑膠 (TW+HK), vs mainland-only 塑料"
硅,矽,"silicon (the element); 矽 (TW+HK), vs mainland-only 硅 — e.g. 硅谷→矽谷"
硅谷,矽谷,"Silicon Valley; 硅→矽 and pins 谷 (valley) — converts the place name in one clean step (longest-match beats the single-char 硅→矽)"
出租车,計程車,"taxi; 計程車 (author-chosen) over the mainland default 出租車, which can misread as 'rental car', and over HK 的士"
自行车,腳踏車,"bicycle; author-chosen 腳踏車 over the default 自行車"
博客,網誌,"blog; 3-way split (ML 博客 / HK 網誌 / TW 部落格) — author's choice: 網誌"
笔记本电脑,手提電腦,"laptop; 3-way split (ML 筆記本電腦 / TW 筆記型電腦 / HK 手提電腦) — author's choice: 手提電腦"
短信,短訊,"SMS / text message; 3-way split (ML 短信 / TW 簡訊 / HK 短訊) — author's choice: 短訊"
英伟达,NVIDIA,"NVIDIA (the company); keep the Latin brand name (not the mainland 英偉達 or Taiwan 輝達)"
谷歌,Google,"Google (the company); use the English name"
索尼,Sony,"Sony; use the Latin name — in TW/HK consumer/gaming writing 'Sony' dominates (pairs with the Latin PS2), though 索尼 is the official Chinese name. Other foreign brands with a dominant Chinese name stay Chinese (亞馬遜/微軟/蘋果/星巴克/法拉利/豐田/日產)"
特朗普,川普,"Trump; Taiwan + American-Chinese preferred 川普, not mainland 特朗普"
计算机,電腦,"computer; the widely-understood word is 電腦, not the mainland 計算機 (= calculator in TW). The author uses 計算機/計算機競賽 as understandable stand-ins for the real field 信息學 — render the word as 電腦. EXCEPTIONS the reviewer must restore: keep 計算機 in the proper name 計算機科學實驗班 (Tsinghua's Yao Class); keep 信息學 wherever it appears (do not touch it)"
了不起的盖茨比,大亨小傳,"The Great Gatsby (novel); standard traditional title 《大亨小傳》 (TW+HK), not the mainland 《了不起的蓋茨比》"
斯科特·菲茨杰拉德,史考特·費茲傑羅,"F. Scott Fitzgerald (author); Taiwan-standard transliteration"
拿破仑,拿破崙,"Napoleon; 仑→崙 (TW+HK standard form)"
